player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
McCoLe01,LeSean McCoy,RB,2009,21,PHI,NFL,RB,16,4,155,637,4,29,42.6,66,4.1,39.8,9.7,55,40,308,7.7,0,13,41.8,45,2.5,19.3,72.7,5.6,195,4.8,945,4,2,8,
McCoLe01,LeSean McCoy,RB,2010,22,PHI,NFL,RB,15,13,207,1080,7,46,46.4,62,5.2,72.0,13.8,91,78,592,7.6,2,29,59.3,40,5.2,39.5,85.7,6.5,285,5.9,1672,9,2,13,
McCoLe01,LeSean McCoy,RB,2011,23,PHI,NFL,RB,15,15,273,1309,17,85,50.9,60,4.8,87.3,18.2,69,48,315,6.6,3,18,44.9,26,3.2,21.0,69.6,4.6,321,5.1,1624,20,1,10,"PB,AP-1"
McCoLe01,LeSean McCoy,RB,2012,24,PHI,NFL,RB,12,12,200,840,2,45,49.5,34,4.2,70.0,16.7,67,54,373,6.9,3,20,46.3,36,4.5,31.1,80.6,5.6,254,4.8,1213,5,4,7,
McCoLe01,LeSean McCoy,RB,2013,25,PHI,NFL,RB,16,16,314,1607,9,79,49.7,57,5.1,100.4,19.6,64,52,539,10.4,2,24,51.6,70,3.3,33.7,81.3,8.4,366,5.9,2146,11,1,15,"PB,AP-1,AP OPoY-2,AP CPoY-11"
McCoLe01,LeSean McCoy,RB,2014,26,PHI,NFL,RB,16,16,312,1319,5,68,44.6,53,4.2,82.4,19.5,37,28,155,5.5,0,10,43.2,18,1.8,9.7,75.7,4.2,340,4.3,1474,5,4,8,PB
McCoLe01,LeSean McCoy,RB,2015,27,BUF,NFL,RB,12,12,203,895,3,42,45.8,48,4.4,74.6,16.9,50,32,292,9.1,2,12,46.0,22,2.7,24.3,64.0,5.8,235,5.1,1187,5,2,9,PB
McCoLe01,LeSean McCoy,RB,2016,28,BUF,NFL,RB,15,15,234,1267,13,56,49.6,75,5.4,84.5,15.6,57,50,356,7.1,1,17,54.4,41,3.3,23.7,87.7,6.2,284,5.7,1623,14,3,13,PB
McCoLe01,LeSean McCoy,RB,2017,29,BUF,NFL,RB,16,16,287,1138,6,57,42.2,48,4.0,71.1,17.9,77,59,448,7.6,2,23,42.9,39,3.7,28.0,76.6,5.8,346,4.6,1586,8,3,11,PB
McCoLe01,LeSean McCoy,RB,2018,30,BUF,NFL,RB,14,13,161,514,3,22,36.0,28,3.2,36.7,11.5,46,34,238,7.0,0,10,37.0,24,2.4,17.0,73.9,5.2,195,3.9,752,3,0,4,
McCoLe01,LeSean McCoy,RB,2019,31,KAN,NFL,RB,13,9,101,465,4,24,46.5,39,4.6,35.8,7.8,34,28,181,6.5,1,6,44.1,23,2.2,13.9,82.4,5.3,129,5.0,646,5,3,5,
McCoLe01,LeSean McCoy,RB,2020,32,TAM,NFL,RB,10,0,10,31,0,2,40.0,14,3.1,3.1,1.0,19,15,101,6.7,0,3,15.8,15,1.5,10.1,78.9,5.3,25,5.3,132,0,0,1,
